Investors;Location
Tencent;Netherlands
Microsoft;Netherlands
Bayer;Netherlands
Dell Technologies Inc.;Netherlands
Altice Europe;Netherlands
Cisco;Netherlands
Oracle;Netherlands
Royal Dutch Shell;Netherlands
Liberty Global;Netherlands
Thermo Fisher Scientific;Netherlands
IBM;Netherlands
Advent International;Netherlands
Apple;Netherlands
CVC Capital Partners;Netherlands
BlackRock;Netherlands
Telefonica;Netherlands
eBay;Netherlands
BT Group;Netherlands
Prosus (formerly Naspers);Netherlands
Vodafone;Netherlands
Adobe Systems;Netherlands
Level 3 Communications;Netherlands
Unilever N.V.;Netherlands
NXP Semiconductors;Netherlands
PayPal;Netherlands
Uber;Netherlands
Qualcomm;Netherlands
Takeaway.com;Netherlands
BlackBerry;Netherlands
ASML;Netherlands
Adidas;Netherlands
Euronext;Netherlands
Eight Roads Ventures;Netherlands
BASF;Netherlands
Equinix;Netherlands
Tata Group;Netherlands
NCR Corporation;Netherlands
VEON (formerly VimpelCom);Netherlands
Booking Holdings;Netherlands
Thomson Reuters;Netherlands
Neptune Energy;Netherlands
Arris Group;Netherlands
Digital Realty Trust;Netherlands
SS&C Technologies;Netherlands
Palo Alto Networks;Netherlands
NN Group;Netherlands
Philips;Netherlands
Oaktree Capital Management;Netherlands
Citrix Online;Netherlands
AerCap;Netherlands
SHV Holdings;Netherlands
Workday;Netherlands
Cognizant Technology Solutions;Netherlands
LSP Life Sciences Partners;Netherlands
GIMV;Netherlands
Citi;Netherlands
DSM;Netherlands
Panasonic;Netherlands
LinkedIn;Netherlands
Forbion Capital Partners;Netherlands
LyondellBasell Industries;Netherlands
Amazon Web Services;Netherlands
Plug and Play;Netherlands
Gilde Healthcare;Netherlands
FireEye;Netherlands
Hitachi;Netherlands
Waterland Private Equity;Netherlands
Liberty Global Ventures;Netherlands
PayU;Netherlands
Red Hat;Netherlands
NTT communications;Netherlands
Groupon;Netherlands
Wolters Kluwer;Netherlands
United Group;Netherlands
KPN;Netherlands
Avast;Netherlands
Konecranes;Netherlands
Refresco;Netherlands
Snap Inc.;Netherlands
ING Group;Netherlands
Airbus;Netherlands
Stripe;Netherlands
OLX;Netherlands
Pearson;Netherlands
Prime Ventures;Netherlands
HPE Growth;Netherlands
INKEF Capital;Netherlands
Lightspeed;Netherlands
Atlassian;Netherlands
Advance;Netherlands
Gemalto;Netherlands
Telecom Italia;Netherlands
ABN AMRO Ventures;Netherlands
Ivanti;Netherlands
Shanghai Electric Group Co Ltd;Netherlands
Convergys;Netherlands
Ramphastos Investments N.V.;Netherlands
APG;Netherlands
comScore;Netherlands
Prosus;Netherlands
Heineken;Netherlands
Qiagen;Netherlands
Hunter Douglas;Netherlands
Exor Seeds;Netherlands
ProQuest;Netherlands
Shell Ventures;Netherlands
Intertrust;Netherlands
Publicis Groupe;Netherlands
Orange Cyberdefense;Netherlands
Cognizant;Netherlands
ING Ventures;Netherlands
Opus Capital;Netherlands
FMO Entrepreneurial Development Bank;Netherlands
ING Bank Corporate Finance;Netherlands
ABN AMRO;Netherlands
Randstad;Netherlands
Bertelsmann India Investment;Netherlands
De Hoge Dennen Capital;Netherlands
Brenntag AG;Netherlands
Sequoia (PE & Advisory);Netherlands
Akamai;Netherlands
Marel;Netherlands
LexisNexis;Netherlands
VICE Media;Netherlands
PPF Group;Netherlands
VISMA;Netherlands
CyrusOne;Netherlands
Exor;Netherlands
HCL Technologies;Netherlands
Ahold;Netherlands
TripAdvisor;Netherlands
Cottonwood Technology Fund;Netherlands
Abcam;Netherlands
Acomo;Netherlands
Anterra Capital;Netherlands
Norgine;Netherlands
Givaudan;Netherlands
Dimension Data;Netherlands
Drake Star;Netherlands
Finci;Netherlands
Hoyberg;Netherlands
NPM Capital;Netherlands
BOM Brabant Ventures;Netherlands
Ola;Netherlands
AEGON;Netherlands
Getaround;Netherlands
Aescap;Netherlands
Lionbridge;Netherlands
AVG;Netherlands
Yandex;Netherlands
JBT Corporation;Netherlands
BioGeneration Ventures;Netherlands
EchoStar;Netherlands
Dropbox;Netherlands
Rabobank;Netherlands
Merge Healthcare;Netherlands
Hydra Ventures;Netherlands
Revo Capital;Netherlands
Endeit Capital;Netherlands
Teradata;Netherlands
Finch Capital;Netherlands
CRITEO;Netherlands
Tencate;Netherlands
DSM Venturing;Netherlands
Elastic;Netherlands
Keen Venture Partners;Netherlands
Klarna;Netherlands
KPN Ventures;Netherlands
Nuance;Netherlands
Velocity Capital Fintech Ventures;Netherlands
IKEA;Netherlands
Blackboard;Netherlands
OTB Ventures;Netherlands
Parcom Capital;Netherlands
Gilde IT Fund;Netherlands
Eventbrite;Netherlands
EIT InnoEnergy;Netherlands
Booking.com;Netherlands
OLX Group;Netherlands
Veeam;Netherlands
Newion;Netherlands
Ingka Group;Netherlands
Axway;Netherlands
InnovationQuarter;Netherlands
Verint Systems;Netherlands
Lbi international;Netherlands
Sykes Enterprises;Netherlands
Okta;Netherlands
Aqua-Spark;Netherlands
NIBC Capital Partners;Netherlands
Actian;Netherlands
Engie;Netherlands
Vectrix - NextStage;Netherlands
HenQ;Netherlands
HAL Investments;Netherlands
Robeco;Netherlands
Mitsubishi-Renault-Nissan Alliance;Netherlands
